data,preco
1/1/2011,3.07
2/1/2011,2.51
3/1/2011,2.52
4/1/2011,2.74
5/1/2011,2.57
6/1/2011,2.26
7/1/2011,2.79
8/1/2011,2.93
9/1/2011,2.71
10/1/2011,2.97
11/1/2011,2.92
12/1/2011,3.24
1/1/2012,3.01
2/1/2012,2.82
3/1/2012,2.64
4/1/2012,2.4
5/1/2012,2.41
6/1/2012,2.18
7/1/2012,2.3
8/1/2012,3.37
9/1/2012,2.97
10/1/2012,3.48
11/1/2012,3.68
12/1/2012,3.93
1/1/2013,3.79
2/1/2013,3.72
3/1/2013,3.63
4/1/2013,3.05
5/1/2013,2.91
6/1/2013,3.03
7/1/2013,2.87
8/1/2013,3.46
9/1/2013,3.75
10/1/2013,4.1
11/1/2013,3.98
12/1/2013,3.98
1/1/2014,4.05
2/1/2014,3.7
3/1/2014,3.44
4/1/2014,3.59
5/1/2014,3.43
6/1/2014,3.46
7/1/2014,3.78
8/1/2014,4.13
9/1/2014,4.41
10/1/2014,4.73
11/1/2014,4.9
12/1/2014,4.44
1/1/2015,4.38
2/1/2015,3.66
3/1/2015,3.64
4/1/2015,3.25
5/1/2015,3.32
6/1/2015,3.61
7/1/2015,3.48
8/1/2015,3.61
9/1/2015,4.27
10/1/2015,4.38
11/1/2015,4.1
12/1/2015,4.3
1/1/2016,4.17
2/1/2016,3.55
3/1/2016,3.47
4/1/2016,3.36
5/1/2016,3.37
6/1/2016,4.39
7/1/2016,3.97
8/1/2016,4.43
9/1/2016,4.16
10/1/2016,4.16
11/1/2016,4.21
12/1/2016,4.59
1/1/2017,4.27
2/1/2017,4.93
3/1/2017,4.45
4/1/2017,3.94
5/1/2017,4
6/1/2017,3.85
7/1/2017,3.81
8/1/2017,4.44
9/1/2017,4.18
10/1/2017,4.13
11/1/2017,4.07
12/1/2017,4.06
1/1/2018,3.97
2/1/2018,3.66
3/1/2018,3.28
4/1/2018,3.03
5/1/2018,3.08
6/1/2018,3.69
7/1/2018,3.29
8/1/2018,3.49
9/1/2018,3.81
10/1/2018,3.95
11/1/2018,3.99
12/1/2018,3.95
1/1/2019,3.89
2/1/2019,3.89
3/1/2019,4.22
4/1/2019,4.17
5/1/2019,4.51
6/1/2019,5.34
7/1/2019,5.41
8/1/2019,4.54
9/1/2019,4.73
10/1/2019,5.19
11/1/2019,5.55
12/1/2019,6.19
1/1/2020,6.15
2/1/2020,5.57
3/1/2020,5.69
4/1/2020,4.14
5/1/2020,4.84
6/1/2020,5.23
7/1/2020,6.25
8/1/2020,7.5
9/1/2020,8.12
10/1/2020,8.76
11/1/2020,9.2
12/1/2020,7.31
1/1/2021,6.9
2/1/2021,7.11
3/1/2021,6.58
4/1/2021,7.13
5/1/2021,6.78
